Goods Received Note (GRN)
Document Number,GRN-KNOT-20250709-HouseofKoala-REP-2024-001
Generated Date,09/07/2025
Generated Time,15:50:18

Order Information
PO Number,PO-2024-001
Vendor/Brand,House of Koala
Replenishment Number,REP-2024-001

Receipt Information
Inward Date,2025-07-09
Warehouse,WH-MUM-01
Receipt Accuracy,0%

Summary Statistics
Total Ordered Units,0
Total Received Units,1499
Total Shortage Units,0
Total Excess Units,0
Total Not Ordered Units,0
Total QC Passed Units,1499
Total QC Failed Units,0
QC Pass Rate,100%


S.No,Brand SKU,KNOT SKU,Size,Color,Received Qty,QC Status,Passed QC Qty,Failed QC Qty,Status,Remarks,QC Fail Reason
197,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
198,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
199,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
200,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
201,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
202,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
203,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
204,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
205,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
206,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
207,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
208,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
209,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
210,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
211,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
212,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
213,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
214,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
215,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
216,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
217,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
218,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
219,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
220,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
221,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
222,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
223,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
224,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
225,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
226,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
227,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
228,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
229,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
230,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
231,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
232,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
233,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
234,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
235,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
236,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
237,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
238,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
239,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
240,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
241,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
242,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
243,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
244,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
245,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
246,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
247,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
248,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
249,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
250,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
251,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
252,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
253,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
254,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
255,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
256,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
257,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
258,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
259,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
260,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
261,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
262,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
263,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
264,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
265,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
266,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
267,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
268,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
269,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
270,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
271,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
272,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
273,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
274,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
275,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
276,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
277,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
278,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
279,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
280,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
281,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
282,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
283,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
284,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
285,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
286,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
287,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
288,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
289,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
290,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
291,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
292,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
293,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
294,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
295,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
296,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
297,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
298,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
299,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
300,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
301,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
302,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
303,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
304,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
305,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
306,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
307,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
308,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
309,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
310,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
311,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
312,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
313,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
314,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
315,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
